secp256k1,0xc391fa61f3ada96dbaf3eb1e4bf40a4e0a0b9314c8e4702cf0e9e09ee7d55518,0xf83a453d60058027e9477ff864e2f55d544608bc310e06454282aabb6b101009
094a4138f05d949c40be62b6bdbe12062e12909df6ca36d86db2a6379f4611f4,-7d925064167d7153c37ecc08755717c254ed2ca5ba5678798af53d7568446a03,31
e382ec5882a502fbbc6bfe174d8722c01e99a9d4c62ab2bbac60a31528c25bda,-1f88bbad557a7b4007ce98e1f088a5c09600ad285e36a23d47daf56dfef5adba,31
6e91d5eb51857553d95faa20732c4ef6d6e9423acd81440b8fb7c314fb69518d,-494a6657bc027bc58547425ea4e7e923981c34d793a956d9ef959216786ea2f9,31
2e8340e74bd9fec146e2fe548878083a29f446fa8423ef08e7e28eeba4c6545a,-6b26b69c9967b9f12a2dd4888c5ded7dc7261fde3e9d1030ce78f9aef7e5a0ab,32
14f3f40b4fbc4b41d5170ec5f8662859a0a433300518e9212d1b3e636a37d4c0,-0b263c34027e7a86c9ea0741a34e87b51fb6a22425c22ca33e914bb13c678896,32
7e001d4cb70ea5ef89ddf804fbd400a94020a14a779ab9a17d3a5877c1e5e927,-06843db4d5b497082da42bf4fa276b92756189651dac791a86ee2953b2876d2a,32
28c6426c2f63e9b275b78c4ef4c25cf515b559405cf524c79b82f50c021ed3b5,-4728675a31ed91f5aa964ec47326d87ef5ae53d3700a5c464b3b6996b249674b,32
1aad6d7176222b8a69db751efec072a5a38e8a791dc8dad339ab0d3e58b90cf0,-4d36d661d4f55c826c5c36f692e4ce0e50d528a9683f5e5c0f840de47679fdd0,31
383ebf71cecb9a490c34bed64ea73150e78b1bd65077e4616abe9cf7e70eab48,-715992a05c6f3b8b43ffe63be7315e2464da629463f074ddd53f1e5c73298424,31
8647c857ec959d2efe4d1dae8cb695db88c24d270048bc28d995f2f092cf30ac,-791b62e304150d8d21480b45f533e6f81bf35d775beca0aa5116b3a0535df234,31
ed8463258a22919d87deb4754b079701b4ba1cc352790a2f1a860723590d9584,2aaa9cb53f801e94ad29a7e22cecff5704df67a641052f2eaaff8c86634a2940,32
